,url_link,title,hot,date
44,https://www.ptt.cc/bbs/KoreaDrama/M.1622632588.A.8DF.html,[LIVE] JTBC Law School EP14,爆,06/02
45,https://www.ptt.cc/bbs/KoreaDrama/M.1622636067.A.FC3.html,[LIVE] 大發不動產 EP 14,爆,06/02
46,https://www.ptt.cc/bbs/KoreaDrama/M.1622641759.A.404.html,[LIVE] tvN 我的室友是九尾狐 EP03,爆,06/02
47,https://www.ptt.cc/bbs/KoreaDrama/M.1622545443.A.254.html,[LIVE] tvN《某一天滅亡來到我家門前》EP8,爆,06/01
48,https://www.ptt.cc/bbs/KoreaDrama/M.1622460154.A.DC1.html,[LIVE] 這區域的瘋X/不瘋不狂不愛你 EP4-6,爆,05/31
49,https://www.ptt.cc/bbs/KoreaDrama/M.1622460616.A.F4A.html,[LIVE] tvN《某一天滅亡來到我家門前》EP7,爆,05/31
50,https://www.ptt.cc/bbs/KoreaDrama/M.1622208088.A.CAD.html,[LIVE] JTBC Undercover EP11-12,爆,05/28
51,https://www.ptt.cc/bbs/KoreaDrama/M.1622286716.A.9DE.html,[LIVE] tvN Mine/我的上流世界 EP07-08,爆,05/29
52,https://www.ptt.cc/bbs/KoreaDrama/M.1622290835.A.FD8.html,[LIVE] SBS 模範計程車 EP16 最終回,爆,05/29
53,https://www.ptt.cc/bbs/KoreaDrama/M.1622035671.A.9E6.html,[LIVE] tvN 我的室友是九尾狐 EP01,爆,05/26
54,https://www.ptt.cc/bbs/KoreaDrama/M.1622046031.A.6D5.html,[閒聊] 棄劇的原因,爆,05/27
55,https://www.ptt.cc/bbs/KoreaDrama/M.1622114043.A.C28.html,[LIVE] JTBC Law School EP13,爆,05/27
56,https://www.ptt.cc/bbs/KoreaDrama/M.1622121646.A.E1A.html,[LIVE] tvN 我的室友是九尾狐 EP02,爆,05/27
57,https://www.ptt.cc/bbs/KoreaDrama/M.1621941035.A.537.html,[LIVE] tvN《某一天滅亡來到我家門前》EP6,爆,05/25
58,https://www.ptt.cc/bbs/KoreaDrama/M.1622027253.A.069.html,[LIVE] JTBC Law School EP12,爆,05/26
59,https://www.ptt.cc/bbs/KoreaDrama/M.1622029679.A.173.html,[LIVE] 大發不動產 EP13(5/27因排球比賽停播一次),爆,05/26
60,https://www.ptt.cc/bbs/KoreaDrama/M.1621854705.A.68D.html,[LIVE] tvN《某一天滅亡來到我家門前》EP5,爆,05/24
61,https://www.ptt.cc/bbs/KoreaDrama/M.1621602976.A.366.html,[LIVE] JTBC Undercover EP9-10,爆,05/21
62,https://www.ptt.cc/bbs/KoreaDrama/M.1621680620.A.75E.html,[LIVE] tvN Mine/我的上流世界 EP05-06,爆,05/22
63,https://www.ptt.cc/bbs/KoreaDrama/M.1621685387.A.943.html,[LIVE] SBS 模範計程車 EP14,爆,05/22
64,https://www.ptt.cc/bbs/KoreaDrama/M.1621691443.A.F54.html,[閒聊] 因為換編劇搞砸一部作品的例子多嗎?,爆,05/22
65,https://www.ptt.cc/bbs/KoreaDrama/M.1621775831.A.332.html,[閒聊] 第一集最精彩的韓劇,爆,05/23
66,https://www.ptt.cc/bbs/KoreaDrama/M.1621509789.A.2AE.html,[LIVE] JTBC Law School EP11,爆,05/20
67,https://www.ptt.cc/bbs/KoreaDrama/M.1621510828.A.89E.html,[LIVE] 大發不動產 EP 12,爆,05/20
68,https://www.ptt.cc/bbs/KoreaDrama/M.1621514443.A.023.html,[LIVE] Mouse:The Last (特輯),爆,05/20
69,https://www.ptt.cc/bbs/KoreaDrama/M.1621599043.A.5D3.html,[LIVE] SBS 模範計程車 EP13,爆,05/21
70,https://www.ptt.cc/bbs/KoreaDrama/M.1621251714.A.783.html,[LIVE] tvN《某一天滅亡來到我家門前》EP3,爆,05/17
71,https://www.ptt.cc/bbs/KoreaDrama/M.1621335722.A.1B7.html,[LIVE] tvN《某一天滅亡來到我家門前》EP4,爆,05/18
72,https://www.ptt.cc/bbs/KoreaDrama/M.1621423399.A.835.html,[LIVE] JTBC Law School EP10,爆,05/19
73,https://www.ptt.cc/bbs/KoreaDrama/M.1621428229.A.2E7.html,[LIVE] Mouse EP20 最終回(120分鐘),爆,05/19
74,https://www.ptt.cc/bbs/KoreaDrama/M.1620996800.A.DE4.html,[LIVE] SBS 模範計程車 EP11,爆,05/14
75,https://www.ptt.cc/bbs/KoreaDrama/M.1620997227.A.5D4.html,[LIVE] JTBC Undercover EP7-8,爆,05/14
