|url_link|title|hot|date|date2
0|https://www.ptt.cc/bbs/KoreaDrama/M.1624361068.A.E78.html|[LIVE] tvN《某一天滅亡來到我家門前》EP14|爆|06/22|0622
1|https://www.ptt.cc/bbs/KoreaDrama/M.1441025983.A.233.html|[置底] 韓劇「求、推薦區」|爆|08/31|0831
2|https://www.ptt.cc/bbs/KoreaDrama/M.1623341856.A.09F.html|[置底] 6月難以發文討論之「閒聊區」端午快樂|爆|06/11|0611
3|https://www.ptt.cc/bbs/KoreaDrama/M.1624274094.A.097.html|[LIVE] tvN《某一天滅亡來到我家門前》EP13|爆|06/21|0621
4|https://www.ptt.cc/bbs/KoreaDrama/M.1624103342.A.21E.html|[LIVE] TV朝鮮 《婚詞離曲第二季》EP3-4|爆|06/19|0619
5|https://www.ptt.cc/bbs/KoreaDrama/M.1624107359.A.6DC.html|[LIVE] Voice4 EP2|爆|06/19|0619
6|https://www.ptt.cc/bbs/KoreaDrama/M.1624110842.A.C60.html|[LIVE] JTBC 雖然知道/無法抗拒的他 EP01|爆|06/19|0619
7|https://www.ptt.cc/bbs/KoreaDrama/M.1624182457.A.4EC.html|[新聞] 被日劇養大的我們，如今愛上直入人心的韓|爆|06/20|0620
8|https://www.ptt.cc/bbs/KoreaDrama/M.1624200980.A.B5A.html|[閒聊] 期待推出續集一定會想看的韓劇|爆|06/20|0620
9|https://www.ptt.cc/bbs/KoreaDrama/M.1624018800.A.8E5.html|[LIVE] SBS Penthouse/上流戰爭 S3 EP03|爆|06/18|0618
10|https://www.ptt.cc/bbs/KoreaDrama/M.1624021206.A.D72.html|[LIVE] Voice4 EP1|爆|06/18|0618
11|https://www.ptt.cc/bbs/KoreaDrama/M.1623849511.A.426.html|[LIVE] tvN 我的室友是九尾狐 EP07|爆|06/16|0616
12|https://www.ptt.cc/bbs/KoreaDrama/M.1623851258.A.534.html|[閒聊] 看幾集決定棄劇？|爆|06/16|0616
13|https://www.ptt.cc/bbs/KoreaDrama/M.1623929870.A.1DA.html|[LIVE] tvN 《機智醫生生活 S2》EP.1|爆|06/17|0617
14|https://www.ptt.cc/bbs/KoreaDrama/M.1623936516.A.6CA.html|[LIVE] tvN 我的室友是九尾狐 EP08|爆|06/17|0617
15|https://www.ptt.cc/bbs/KoreaDrama/M.1623669231.A.A56.html|[LIVE] tvN《某一天滅亡來到我家門前》 EP11|爆|06/14|0614
16|https://www.ptt.cc/bbs/KoreaDrama/M.1623669425.A.B48.html|[LIVE] 這區域的瘋X/不瘋不狂不愛你 EP10-12|爆|06/14|0614
17|https://www.ptt.cc/bbs/KoreaDrama/M.1623756054.A.F1E.html|[LIVE] tvN《某一天滅亡來到我家門前》EP12|爆|06/15|0615
18|https://www.ptt.cc/bbs/KoreaDrama/M.1623578298.A.3A9.html|[閒聊] 讓人欲罷不能想要一口氣看完的韓劇|爆|06/13|0613
19|https://www.ptt.cc/bbs/KoreaDrama/M.1623594312.A.30F.html|[閒聊] 大家會找以前看過的劇二刷嗎？|爆|06/13|0613
20|https://www.ptt.cc/bbs/KoreaDrama/M.1623411914.A.B97.html|[求薦] 請推薦有點愛情線的質感或懸疑韓劇|爆|06/11|0611
21|https://www.ptt.cc/bbs/KoreaDrama/M.1623413889.A.873.html|[LIVE] SBS Penthouse/上流戰爭 S3 EP02|爆|06/11|0611
22|https://www.ptt.cc/bbs/KoreaDrama/M.1623417635.A.719.html|[LIVE] JTBC Undercover EP15|爆|06/11|0611
23|https://www.ptt.cc/bbs/KoreaDrama/M.1623497907.A.5A8.html|[LIVE] tvN Mine/我的上流世界 EP11-12|爆|06/12|0612
24|https://www.ptt.cc/bbs/KoreaDrama/M.1623504254.A.950.html|[LIVE] JTBC Undercover EP16 最終話|爆|06/12|0612
25|https://www.ptt.cc/bbs/KoreaDrama/M.1623324966.A.180.html|[LIVE] 大發不動產 (特輯)|爆|06/10|0610
26|https://www.ptt.cc/bbs/KoreaDrama/M.1623331783.A.6DE.html|[LIVE] tvN 我的室友是九尾狐 EP06|爆|06/10|0610
27|https://www.ptt.cc/bbs/KoreaDrama/M.1623332095.A.032.html|[情報] tvN六月新劇《機智醫生生活 第二季》|爆|06/10|0610
28|https://www.ptt.cc/bbs/KoreaDrama/M.1623217009.A.E45.html|[閒聊] 願意一直重刷的劇|爆|06/09|0609
29|https://www.ptt.cc/bbs/KoreaDrama/M.1623237502.A.5D4.html|[LIVE] JTBC Law School EP16 最終回|爆|06/09|0609
30|https://www.ptt.cc/bbs/KoreaDrama/M.1623238772.A.E90.html|[LIVE] 大發不動產 EP16最終回|爆|06/09|0609
31|https://www.ptt.cc/bbs/KoreaDrama/M.1623245215.A.72A.html|[LIVE] tvN 我的室友是九尾狐 EP05|爆|06/09|0609
32|https://www.ptt.cc/bbs/KoreaDrama/M.1623245375.A.093.html|[新聞] 《滅亡》收視率掉到2.5%　韓網吵起來|爆|06/09|0609
33|https://www.ptt.cc/bbs/KoreaDrama/M.1623068581.A.5AF.html|[LIVE] KBS 五月的青春 EP11-EP12 最終回|爆|06/07|0607
34|https://www.ptt.cc/bbs/KoreaDrama/M.1623127569.A.07C.html|[問題] 我是遺物整理師大家推嗎??|爆|06/08|0608
35|https://www.ptt.cc/bbs/KoreaDrama/M.1623151799.A.81D.html|[LIVE] tvN《某一天滅亡來到我家門前》EP10|爆|06/08|0608
36|https://www.ptt.cc/bbs/KoreaDrama/M.1622893194.A.D55.html|[LIVE] tvN Mine/我的上流世界 EP09-10|爆|06/05|0605
37|https://www.ptt.cc/bbs/KoreaDrama/M.1623060701.A.B31.html|[LIVE] 這區域的瘋X/不瘋不狂不愛你 EP7-9|爆|06/07|0607
38|https://www.ptt.cc/bbs/KoreaDrama/M.1623064606.A.5D2.html|[LIVE] tvN《某一天滅亡來到我家門前》EP9|爆|06/07|0607
39|https://www.ptt.cc/bbs/KoreaDrama/M.1622719978.A.8DC.html|[LIVE] 大發不動產 EP15|爆|06/03|0603
40|https://www.ptt.cc/bbs/KoreaDrama/M.1622719995.A.B8A.html|[LIVE] JTBC Law School EP15|爆|06/03|0603
41|https://www.ptt.cc/bbs/KoreaDrama/M.1622726437.A.42F.html|[LIVE] tvN 我的室友是九尾狐 EP04|爆|06/03|0603
42|https://www.ptt.cc/bbs/KoreaDrama/M.1622808737.A.425.html|[LIVE] SBS Penthouse/上流戰爭 S3 EP01|爆|06/04|0604
43|https://www.ptt.cc/bbs/KoreaDrama/M.1622814001.A.1B1.html|[LIVE] JTBC Undercover EP13-14|爆|06/04|0604
44|https://www.ptt.cc/bbs/KoreaDrama/M.1622632588.A.8DF.html|[LIVE] JTBC Law School EP14|爆|06/02|0602
45|https://www.ptt.cc/bbs/KoreaDrama/M.1622636067.A.FC3.html|[LIVE] 大發不動產 EP 14|爆|06/02|0602
46|https://www.ptt.cc/bbs/KoreaDrama/M.1622641759.A.404.html|[LIVE] tvN 我的室友是九尾狐 EP03|爆|06/02|0602
47|https://www.ptt.cc/bbs/KoreaDrama/M.1622545443.A.254.html|[LIVE] tvN《某一天滅亡來到我家門前》EP8|爆|06/01|0601
48|https://www.ptt.cc/bbs/KoreaDrama/M.1622460154.A.DC1.html|[LIVE] 這區域的瘋X/不瘋不狂不愛你 EP4-6|爆|05/31|0531
49|https://www.ptt.cc/bbs/KoreaDrama/M.1622460616.A.F4A.html|[LIVE] tvN《某一天滅亡來到我家門前》EP7|爆|05/31|0531
50|https://www.ptt.cc/bbs/KoreaDrama/M.1622208088.A.CAD.html|[LIVE] JTBC Undercover EP11-12|爆|05/28|0528
51|https://www.ptt.cc/bbs/KoreaDrama/M.1622286716.A.9DE.html|[LIVE] tvN Mine/我的上流世界 EP07-08|爆|05/29|0529
52|https://www.ptt.cc/bbs/KoreaDrama/M.1622290835.A.FD8.html|[LIVE] SBS 模範計程車 EP16 最終回|爆|05/29|0529
53|https://www.ptt.cc/bbs/KoreaDrama/M.1622035671.A.9E6.html|[LIVE] tvN 我的室友是九尾狐 EP01|爆|05/26|0526
54|https://www.ptt.cc/bbs/KoreaDrama/M.1622046031.A.6D5.html|[閒聊] 棄劇的原因|爆|05/27|0527
55|https://www.ptt.cc/bbs/KoreaDrama/M.1622114043.A.C28.html|[LIVE] JTBC Law School EP13|爆|05/27|0527
56|https://www.ptt.cc/bbs/KoreaDrama/M.1622121646.A.E1A.html|[LIVE] tvN 我的室友是九尾狐 EP02|爆|05/27|0527
57|https://www.ptt.cc/bbs/KoreaDrama/M.1621941035.A.537.html|[LIVE] tvN《某一天滅亡來到我家門前》EP6|爆|05/25|0525
58|https://www.ptt.cc/bbs/KoreaDrama/M.1622027253.A.069.html|[LIVE] JTBC Law School EP12|爆|05/26|0526
59|https://www.ptt.cc/bbs/KoreaDrama/M.1622029679.A.173.html|[LIVE] 大發不動產 EP13(5/27因排球比賽停播一次)|爆|05/26|0526
60|https://www.ptt.cc/bbs/KoreaDrama/M.1621854705.A.68D.html|[LIVE] tvN《某一天滅亡來到我家門前》EP5|爆|05/24|0524
61|https://www.ptt.cc/bbs/KoreaDrama/M.1621602976.A.366.html|[LIVE] JTBC Undercover EP9-10|爆|05/21|0521
62|https://www.ptt.cc/bbs/KoreaDrama/M.1621680620.A.75E.html|[LIVE] tvN Mine/我的上流世界 EP05-06|爆|05/22|0522
63|https://www.ptt.cc/bbs/KoreaDrama/M.1621685387.A.943.html|[LIVE] SBS 模範計程車 EP14|爆|05/22|0522
64|https://www.ptt.cc/bbs/KoreaDrama/M.1621691443.A.F54.html|[閒聊] 因為換編劇搞砸一部作品的例子多嗎?|爆|05/22|0522
65|https://www.ptt.cc/bbs/KoreaDrama/M.1621775831.A.332.html|[閒聊] 第一集最精彩的韓劇|爆|05/23|0523
66|https://www.ptt.cc/bbs/KoreaDrama/M.1621509789.A.2AE.html|[LIVE] JTBC Law School EP11|爆|05/20|0520
67|https://www.ptt.cc/bbs/KoreaDrama/M.1621510828.A.89E.html|[LIVE] 大發不動產 EP 12|爆|05/20|0520
68|https://www.ptt.cc/bbs/KoreaDrama/M.1621514443.A.023.html|[LIVE] Mouse:The Last (特輯)|爆|05/20|0520
69|https://www.ptt.cc/bbs/KoreaDrama/M.1621599043.A.5D3.html|[LIVE] SBS 模範計程車 EP13|爆|05/21|0521
70|https://www.ptt.cc/bbs/KoreaDrama/M.1621251714.A.783.html|[LIVE] tvN《某一天滅亡來到我家門前》EP3|爆|05/17|0517
71|https://www.ptt.cc/bbs/KoreaDrama/M.1621335722.A.1B7.html|[LIVE] tvN《某一天滅亡來到我家門前》EP4|爆|05/18|0518
72|https://www.ptt.cc/bbs/KoreaDrama/M.1621423399.A.835.html|[LIVE] JTBC Law School EP10|爆|05/19|0519
73|https://www.ptt.cc/bbs/KoreaDrama/M.1621428229.A.2E7.html|[LIVE] Mouse EP20 最終回(120分鐘)|爆|05/19|0519
74|https://www.ptt.cc/bbs/KoreaDrama/M.1620996800.A.DE4.html|[LIVE] SBS 模範計程車 EP11|爆|05/14|0514
75|https://www.ptt.cc/bbs/KoreaDrama/M.1620997227.A.5D4.html|[LIVE] JTBC Undercover EP7-8|爆|05/14|0514
76|https://www.ptt.cc/bbs/KoreaDrama/M.1620999172.A.166.html|[LIVE] Imitation EP2|爆|05/14|0514
77|https://www.ptt.cc/bbs/KoreaDrama/M.1621080559.A.B67.html|[LIVE] SBS 模範計程車 EP12|爆|05/15|0515
78|https://www.ptt.cc/bbs/KoreaDrama/M.1620823058.A.C67.html|[LIVE] Mouse EP18|爆|05/12|0512
79|https://www.ptt.cc/bbs/KoreaDrama/M.1620840666.A.08A.html|[閒聊] 怪物劇本書開箱分享(特別加映追加補充)|爆|05/13|0513
80|https://www.ptt.cc/bbs/KoreaDrama/M.1620899678.A.E69.html|[LIVE] 第57屆百想藝術大賞 紅毯、頒獎典禮(一部)|爆|05/13|0513
81|https://www.ptt.cc/bbs/KoreaDrama/M.1620905746.A.F40.html|[LIVE] 大發不動產 EP10|爆|05/13|0513
82|https://www.ptt.cc/bbs/KoreaDrama/M.1620909128.A.994.html|[LIVE] Mouse EP19|爆|05/13|0513
83|https://www.ptt.cc/bbs/KoreaDrama/M.1620914895.A.2A0.html|[LIVE] 第57屆百想藝術大賞 頒獎典禮 二部|爆|05/13|0513
84|https://www.ptt.cc/bbs/KoreaDrama/M.1620920257.A.7B0.html|[情報] 第57屆百想藝術大賞 得獎名單|爆|05/13|0513
85|https://www.ptt.cc/bbs/KoreaDrama/M.1620644467.A.01D.html|[LIVE] tvN《某一天滅亡來到我家門前》 首播|爆|05/10|0510
